"GEOID","AsianPercent","BlackPercent","HispanicPercent","NativeAmPercent","Hawaiian_PIPercent","LowerIncome","MiddleIncome","HighIncome","Agri_MiningPerc","ConstructionPerc","ManufacturingPerc","WholesalePerc","RetailPerc","TransportationPerc","Finance_RealEstatePerc","Science_WastePerc","Education_HealthPerc","Arts_Rec_FoodPerc","OtherPerc","name","state","Number_of_returns","estimated_exams","audit_rate","audit_rate_trunk","YEAR","PARTISAN_INDEX_DEM","PARTISAN_INDEX_REP"
"72105",0.0268898524419347,6.07374542032201,99.6269032973682,0.0369735471076602,0,0.592794253938832,0.097775718257646,0.0194624652455978,1.40806561859193,10.0751879699248,7.04032809295967,2.365003417635,14.5317840054682,3.49965823650034,4.10116199589884,9.6514012303486,24.7573479152427,6.49350649350649,5.85099111414901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72013",0.909081082249678,4.13248154273546,99.5070856438694,0.393466722876199,0,0.522036733050454,0.110880540155481,0.0188001362777588,1.59694202590784,3.91590571246549,14.1601189212147,1.80080696538543,13.5952431514122,2.96878318114249,4.65066893183266,8.43491187088554,25.538330855808,5.77617328519856,4.63792737311531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72054",0.233720180528691,0.29819471308833,99.7582205029014,0,0,0.617323556370302,0.0735563703024748,0,2.03821656050955,7.51592356687898,11.0191082802548,1.78343949044586,8.37579617834395,6.14649681528662,3.63057324840764,9.29936305732484,23.1528662420382,4.3312101910828,7.35668789808917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72099",0.0489501481386062,2.82107432693546,99.1807290995749,0.211258534071879,0.0489501481386062,0.547357276651193,0.0768792246925645,0.0109129407932242,4.07787993510005,7.11736073553272,5.47322877230936,1.8388318009735,13.4883720930233,1.29799891833423,2.27149810708491,7.26879394267171,25.6138453217956,10.0486749594375,5.66792861005949,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72123",0.39848575413429,13.7876070930464,99.2926877864116,0.192601447831573,0,0.54466309966446,0.102566427858892,0.00208578942595448,5.61250640697078,5.68939005638134,11.3659661711943,0.525371604305484,12.1732444900051,4.39518195797027,2.01178882624295,5.30497180932855,21.9246540235777,12.2373141978473,5.31778575089698,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72153",0.0937325834726656,3.04250899326139,99.5034706389016,0.243198054415565,0,0.506181121226641,0.0941063727839003,0.0155246765692381,5.42418469124734,6.43281407598341,11.1621651910792,1.86036086517987,13.8182225708842,2.82416227726101,4.38193432702006,7.21730359744481,24.5545220217416,6.46643505547462,2.91381822257088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72023",0.0317586343787217,3.2135768161969,99.7181421198888,0.0793965859468043,0,0.522699386503067,0.108150744960561,0.0301489921121823,1.47331132759037,3.48603172047339,11.7301344497222,2.06907656388374,15.6831173013445,2.69704532646325,5.10425891635134,7.87376217695838,25.7145157394735,8.42122212382256,4.13010224619596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72083",0,0.676982591876209,98.9469159681926,0.161186331399097,0,0.513040712468193,0.061704834605598,0,7.83205490512717,9.32579733548648,9.97174000807428,0.60557125555107,11.2232539362132,2.74525635849818,2.26079935405733,4.80419862737182,31.7723052079128,4.56197012515139,2.38191360516754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72149",0.0364593882924853,3.55276483694551,99.6759165485112,0.275470933765445,0,0.560164938148194,0.105460452330376,0.0161189553917281,4.54746136865342,5.54819720382634,17.8660779985283,2.19278881530537,11.4054451802796,2.91390728476821,3.39955849889625,7.24061810154525,23.2671081677704,4.81236203090508,5.06254598969831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72003",0.177326798512425,1.70677043568209,93.648252592173,0.0197029776124917,0,0.571014492753623,0.10419527078566,0.0109839816933638,0.753899480069324,6.4471403812825,10.8232235701906,2.10571923743501,12.4696707105719,2.28769497400347,3.8734835355286,10.528596187175,21.6811091854419,11.525129982669,7.10571923743501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72041",0.354626696297697,4.57941273819093,99.5484420067143,0.208047661827982,0,0.568284789644013,0.166702624955052,0.0504135203164329,0.919632147141144,6.3374650139944,14.6608023457284,2.75223244035719,15.2005864320938,3.53858456617353,4.65147274423564,7.6969212315074,25.3698520591763,6.47740903638545,4.41823270691723,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72089",0.707801200184644,9.56557419090116,97.6714366312766,0.328255629071139,0,0.56246317030053,0.12919858573954,0.028285209192693,1.47529328119445,8.06967650195521,7.6253110558123,1.22644863135443,16.8858869534305,4.23035904728048,3.32385353714895,9.33167436900107,17.1880554568077,15.6416637042304,4.28368290081763,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72107",0,2.26598805045364,99.9070590838681,0,0,0.591658159544991,0.0514802391716494,0.00525010937727869,4.15202108963093,8.76537785588752,13.7961335676626,2.57029876977153,9.71001757469244,2.02108963093146,5.18453427065026,8.06239015817223,24.670474516696,7.71089630931459,2.57029876977153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48455",0.201318986463034,10.2603262755988,9.02464422075668,0.548420687261368,0,0.565821596244131,0.216901408450704,0.104788732394366,7.6188541243397,8.06582689963429,7.92360828931329,1.66598943518895,11.9260463226331,8.32994717594474,2.13327915481512,8.59406745225518,13.9780577001219,15.2986590816741,3.55546525802519,"Trinity County, Texas","Texas",22950,190,8.27886710239651,8.27886710239651,2016,0.2407102435827,0.7592897415161
"48019",0.216387766878246,1.41373341027121,17.5226005000962,0.577034045008656,0,0.4294500723589,0.313434635793536,0.184997588036662,5.84905660377358,12.2752497225305,6.43729189789123,1.43174250832408,10.488346281909,1.13207547169811,5.50499445061043,8.42397336293008,24.3063263041065,7.55826859045505,8.19089900110988,"Bandera County, Texas","Texas",37280,291,7.80579399141631,7.80579399141631,2016,0.1834922432899,0.8165077567101
"72037",1.14754098360656,7.23653395784543,99.4925839188134,0,0,0.675828970331588,0.0695898778359511,0.0218150087260035,2.03317281968967,5.83199571963617,11.3162118780096,3.39753879079722,7.89192081326913,4.03959336543606,6.82182985553772,12.4130551096843,20.0909577314072,13.2156233279829,4.41412520064205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72071",0.0225032629731311,5.4930464917413,98.9198433772897,0.396057428327107,0,0.551068417957263,0.0780239168790433,0.0141802260994576,3.10945273631841,4.70723306544202,6.2284730195178,0.889781859931114,16.1595866819747,4.43934175277459,4.31496364332185,7.95063145809414,24.2824339839265,9.04133180252583,8.8691159586682,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72085",0.326382592928377,16.0808185468204,99.6166299702111,0,0,0.539040670599193,0.119993790748215,0.0235951567836076,0.593941793704217,7.45396951098792,21.3918036032469,1.66303702237181,14.6010690952287,2.60344486240348,4.17739061571966,8.15680063353791,18.9071470995842,6.40467234211047,5.86022569788161,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72143",0.221267071899082,10.1757420076808,98.5884686792645,0.114448485465042,0,0.570712694877506,0.115972001272669,0.029032771237671,0.122399020807834,4.48796409628723,14.4226846185231,4.40636474908201,15.6976744186047,4.35536515707874,4.65116279069767,8.07833537331701,18.0946552427581,9.62872297021624,5.38555691554468,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42111",0.304110053904486,2.640406176175,1.29605701084616,0.0848375686858008,0.00522077345758774,0.489449339950707,0.316992471048989,0.128363550423715,5.26252299526524,7.11722307669109,12.1173738653156,2.3643656322567,12.054042643023,7.36451642088121,3.56765885581592,6.17630205977261,24.6509243342682,8.12449108839229,5.35902771494918,"Somerset County, Pennsylvania","Pennsylvania",140050,965,6.89039628704034,6.89039628704034,2016,0.2807024419308,0.7192975282669
"29123",0.475768083219095,1.79017821143456,0.491895814853641,0.25804370615273,0.153213450528183,0.593333333333333,0.270752688172043,0.0561290322580645,2.3073753605274,7.66378244746601,12.1549237742068,1.79233621755253,11.8459002884219,8.61145447053976,2.53399258343634,6.42768850432633,26.3081994231562,4.9855789039967,6.61310259579728,"Madison County, Missouri","Missouri",19890,165,8.29562594268477,8.29562594268477,2016,0.3207999169827,0.6792001128197
"29217",0.694510968483571,0.905259124437207,1.92547178848549,0.627454737043778,0,0.516169154228856,0.297014925373134,0.100373134328358,7.31294316858927,7.58810456132924,11.4615303206689,1.75679966133982,11.6202772780188,4.11683776060959,8.0325960419092,4.72007619853953,28.0558789289872,6.72028786114933,3.17493914699968,"Vernon County, Missouri","Missouri",33900,272,8.023598820059,8.023598820059,2016,0.28644323349,0.71355676651
"29147",1.57853877339774,2.85948417148279,1.47502803415854,0.319158112654188,0.129388424048995,0.525118373946183,0.262732417138238,0.095392077607114,5.04059238112231,6.4412525649032,15.853332143813,1.65938085467035,9.6618788473548,2.5961281113391,2.72994914800607,5.28147024712285,26.6214648942814,14.470514764921,4.37148719778749,"Nodaway County, Missouri","Missouri",34570,246,7.11599652878218,7.11599652878218,2016,0.3492638468742,0.6507361531258
"29041",0.117647058823529,2.27450980392157,0.810457516339869,0.169934640522876,0,0.521886664404479,0.278588394977944,0.112656939260265,10.5025579295817,5.26632560938911,12.3382485705688,2.6181161600963,12.6391814625339,9.41919951850737,4.96539271742401,2.43755642491724,23.7135118868492,4.45380680108336,5.14595245260307,"Chariton County, Missouri","Missouri",13820,106,7.67004341534009,7.67004341534009,2016,0.3426894545555,0.6573105454445
"29223",0.0821079346122266,0.582219899977607,1.32865566917967,0.335896096140927,0.0149287153840412,0.588850174216028,0.249770768384376,0.0608839171098478,4.69015280135823,7.91595925297114,17.1264855687606,2.01612903225806,11.5237691001698,5.83616298811545,4.85993208828523,6.6213921901528,19.4397283531409,9.29541595925297,3.73514431239389,"Wayne County, Missouri","Missouri",18480,159,8.6038961038961,8.6038961038961,2016,0.3058035075665,0.6941965222359
"29201",0.404495532628453,11.2797931440567,2.11464120222217,0.363533959704053,0,0.539056863645307,0.269036531776743,0.105528956516036,3.02662037037037,6.49305555555556,14.8784722222222,2.59259259259259,13.3449074074074,6.42939814814815,3.63425925925926,5.28356481481481,26.6608796296296,7.22800925925926,3.61111111111111,"Scott County, Missouri","Missouri",69640,558,8.01263641585296,8.01263641585296,2016,0.2898936271667,0.7101063728333
"29011",1.15074798619102,0.27124773960217,2.37547262863719,1.24116389939175,0.0246588854183791,0.52766639935846,0.274057738572574,0.109663191659984,8.07881773399015,7.29064039408867,17.1034482758621,2.54187192118227,14.8571428571429,4.25615763546798,5.00492610837438,6.10837438423645,21.4384236453202,3.42857142857143,5.37931034482759,"Barton County, Missouri","Missouri",20470,166,8.10942843185149,8.10942843185149,2016,0.1876630187035,0.8123369812965
"29039",0.0791822631730492,0.0863806507342355,1.38209041174777,0.0503887129283041,0.215951626835589,0.574525745257453,0.236111111111111,0.0647018970189702,6.82044143965003,11.8512626764764,10.4792205209783,3.95704911513223,13.8794989063432,6.12447802744084,3.16166235832173,3.32073970968383,20.2227082919069,7.77490554782263,5.64724597335454,"Cedar County, Missouri","Missouri",21840,184,8.42490842490843,8.42490842490843,2016,0.2475256919861,0.7524743080139
"29073",0.287663901525288,0.441530639550442,1.2978324859513,0.388011774150388,0,0.480467499199488,0.321165545949408,0.112872238232469,2.93893710979138,7.30927364093193,26.9529465509365,2.11664382518654,9.56296634688595,4.32465357088473,4.11146642302421,3.48713263286128,22.6892035937262,7.93360743109487,3.31962844525659,"Gasconade County, Missouri","Missouri",28080,208,7.40740740740741,7.40740740740741,2016,0.2928019464016,0.7071980834007
"29121",0.388098318240621,2.7490297542044,1.20957309184994,0.452781371280724,0,0.5609482620535,0.285599871856479,0.0778471888515137,4.05136829231004,8.02629567344443,10.2430820975386,1.69698822809968,13.5911940070326,5.549610151353,4.2195382968965,5.68720379146919,25.7911634306681,6.69622381898792,4.31126739030729,"Macon County, Missouri","Missouri",27670,215,7.77014817491868,7.77014817491868,2016,0.3140621185303,0.6859378814697
"29149",0.10929957191001,0.236815739138355,1.4573276254668,1.27516167228345,0,0.571101442637967,0.224181360201511,0.0606823906572017,7.00465344109723,4.06563801126623,13.5194709772226,1.05314719568944,12.8337007102621,9.25789860396767,2.81655645358805,3.64927749204017,28.6309086456037,7.07812882684301,5.339211364193,"Oregon County, Missouri","Missouri",15430,140,9.07323395981854,9.07323395981854,2016,0.3187086284161,0.6812913417816
"29186",0.0389105058365759,0.722623679822123,0.983879933296276,0.0778210116731518,1.66759310728182,0.480734202045677,0.324506094997898,0.14333753678016,6.00264645735595,10.9346806207145,22.2663298448214,1.13075905208709,8.69722121977625,6.62817274148923,3.07951401419463,5.10044508600986,22.6512690965957,6.5199085769277,2.61036930109467,"Ste. Genevieve County, Missouri","Missouri",33160,229,6.9059107358263,6.9059107358263,2016,0.4004345238209,0.5995654463768
"29067",0.0221959159514649,0.0591891092039065,1.06540396567032,0.303344184670021,0,0.609058176994504,0.203524729960205,0.0551449687322342,6.94302634265877,6.80008168266285,16.806207882377,1.69491525423729,16.2344292423933,8.78088625689197,5.02348376557076,3.43067183990198,18.6849091280376,4.26791913416377,4.90095977128854,"Douglas County, Missouri","Missouri",19840,174,8.77016129032258,8.77016129032258,2016,0.2407470047474,0.7592530250549
"29109",0.525572638845309,0.156887354879197,6.86905135446083,0.536031795837255,0,0.534695850307257,0.278395360077332,0.104329213560726,5.4290053151101,5.30878258668691,19.7418375094913,1.27815742849911,9.11161731207289,5.97949886104784,3.29663376360415,8.66236395849152,22.4373576309795,6.67552518349785,5.7074158440901,"Lawrence County, Missouri","Missouri",63480,505,7.95526149968494,7.95526149968494,2016,0.2422320395708,0.7577679753304
"29169",2.80859981662706,12.1568774208035,10.3175345695414,0.986097337350074,0.705424470931647,0.452802073210236,0.346679624230645,0.127048914804017,1.24353688068591,5.35375351790039,7.24523856273316,0.778846783166438,13.4498331042607,3.29210026834217,4.35892401335166,6.26349892008639,19.6871523005432,11.5125335427711,4.18875580862622,"Pulaski County, Missouri","Missouri",74560,581,7.79238197424893,7.79238197424893,2016,0.2887083590031,0.7112916111946
